date,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,2,3,4,5,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_7,percent_8,percent_9,percent_10,percent_20,percent_30,percent_40,percent_50,hap(y2-y1),hap(raw),avg,grade
2018-01-05,545,386,297,243,215,193,173,158,150,142,45,36,31,28,70.6,50.0,38.47,31.48,27.85,25.0,22.41,20.47,19.43,18.39,5.83,4.66,4.02,3.63,8875.494099999985,10856.901709999998,11.511665499351473,4
2018-01-06,375,181,138,116,94,85,77,69,61,58,20,10,7,7,48.58,23.45,17.88,15.03,12.18,11.01,9.97,8.94,7.9,7.51,2.59,1.3,0.91,0.91,412.52292000000006,14355.704789999987,0.5350491828793775,3
2018-01-07,498,369,280,223,184,159,141,123,107,95,21,15,12,10,64.51,47.8,36.27,28.89,23.83,20.6,18.26,15.93,13.86,12.31,2.72,1.94,1.55,1.3,433.81494000000015,17538.71088,0.562665291828794,4
2018-02-08,206,144,98,89,79,73,65,61,60,57,25,23,20,17,26.68,18.65,12.69,11.53,10.23,9.46,8.42,7.9,7.77,7.38,3.24,2.98,2.59,2.2,46777.95642000005,-7301.599360000048,60.6717982101168,2
2018-02-16,435,297,204,160,130,106,86,69,59,50,13,6,5,5,56.35,38.47,26.42,20.73,16.84,13.73,11.14,8.94,7.64,6.48,1.68,0.78,0.65,0.65,1052.1215199999995,15389.105669999995,1.3646193514915688,3
2018-02-17,228,129,95,83,71,55,48,43,38,35,15,10,8,8,29.53,16.71,12.31,10.75,9.2,7.12,6.22,5.57,4.92,4.53,1.94,1.3,1.04,1.04,665.8185599999998,16991.933479999996,0.8635778988326845,2
2018-02-24,512,356,255,190,139,95,68,57,42,33,2,1,1,1,66.32,46.11,33.03,24.61,18.01,12.31,8.81,7.38,5.44,4.27,0.26,0.13,0.13,0.13,267.4427140000001,16565.091003000005,0.3468777094682232,3
2018-02-25,313,203,147,109,85,73,65,56,46,41,5,3,2,2,40.54,26.3,19.04,14.12,11.01,9.46,8.42,7.25,5.96,5.31,0.65,0.39,0.26,0.26,708.0923799999989,15724.034839000005,0.9184077561608287,2
2018-02-27,409,274,198,151,120,100,81,63,55,39,0,0,0,0,52.98,35.49,25.65,19.56,15.54,12.95,10.49,8.16,7.12,5.05,0.0,0.0,0.0,0.0,201.05379999999997,16437.43900000001,0.26077016861219193,2
2018-03-03,331,245,198,163,129,113,96,83,76,69,14,8,2,2,42.88,31.74,25.65,21.11,16.71,14.64,12.44,10.75,9.84,8.94,1.81,1.04,0.26,0.26,263.88058,16035.117839999984,0.3422575616083009,2
2018-03-07,429,267,184,127,93,68,55,42,33,25,2,1,0,0,55.57,34.59,23.83,16.45,12.05,8.81,7.12,5.44,4.27,3.24,0.26,0.13,0.0,0.0,178.0785999999999,18536.012599999987,0.23097094682230856,3
2018-03-10,345,194,125,94,73,63,55,45,43,40,9,2,0,0,44.69,25.13,16.19,12.18,9.46,8.16,7.12,5.83,5.57,5.18,1.17,0.26,0.0,0.0,181.91350000000014,15646.529300000033,0.23594487678339837,2
2018-03-24,401,257,177,121,99,81,61,54,44,39,8,3,0,0,51.94,33.29,22.93,15.67,12.82,10.49,7.9,6.99,5.7,5.05,1.04,0.39,0.0,0.0,200.12170000000003,16384.071,0.25956121919584957,2
2018-03-26,334,173,101,72,58,53,51,47,40,38,14,11,7,3,43.26,22.41,13.08,9.33,7.51,6.87,6.61,6.09,5.18,4.92,1.81,1.42,0.91,0.39,212.2481,17503.623700000007,0.275289364461738,3
2018-03-27,318,197,131,102,90,78,68,56,50,43,7,0,0,0,41.19,25.52,16.97,13.21,11.66,10.1,8.81,7.25,6.48,5.57,0.91,0.0,0.0,0.0,171.13760000000008,15921.830400000004,0.22196835278858634,2
2018-03-31,110,47,30,19,14,8,7,3,0,0,0,0,0,0,14.25,6.09,3.89,2.46,1.81,1.04,0.91,0.39,0.0,0.0,0.0,0.0,0.0,0.0,51.64840000000001,15839.153999999986,0.06698884565499352,0
2018-04-07,356,179,119,87,73,64,58,54,50,49,12,7,6,5,46.11,23.19,15.41,11.27,9.46,8.29,7.51,6.99,6.48,6.35,1.55,0.91,0.78,0.65,239.36094000000023,17215.83049000002,0.31045517509727655,3
2018-04-09,336,192,113,82,54,35,27,22,18,8,2,2,1,0,43.52,24.87,14.64,10.62,6.99,4.53,3.5,2.85,2.33,1.04,0.26,0.26,0.13,0.0,136.53439999999995,15945.7797,0.1770874189364461,2
2018-04-10,320,183,117,80,65,50,35,25,13,5,0,0,0,0,41.45,23.7,15.16,10.36,8.42,6.48,4.53,3.24,1.68,0.65,0.0,0.0,0.0,0.0,120.68130000000001,17554.854200000005,0.15652568093385216,3
2018-04-12,262,92,60,45,38,30,17,12,10,10,2,1,0,0,33.94,11.92,7.77,5.83,4.92,3.89,2.2,1.55,1.3,1.3,0.26,0.13,0.0,0.0,97.97619999999998,15764.304900000005,0.12707678339818415,1
2018-04-13,300,169,109,80,58,45,39,33,25,21,1,1,1,1,38.86,21.89,14.12,10.36,7.51,5.83,5.05,4.27,3.24,2.72,0.13,0.13,0.13,0.13,130.83330000000007,18543.7115,0.1696929961089495,2
2018-04-16,303,145,98,72,46,39,32,28,25,25,7,3,2,0,39.25,18.78,12.69,9.33,5.96,5.05,4.15,3.63,3.24,3.24,0.91,0.39,0.26,0.0,143.9259000000001,15280.037099999994,0.18667431906614798,2
2018-04-17,278,133,77,35,17,8,5,2,2,1,0,0,0,0,36.01,17.23,9.97,4.53,2.2,1.04,0.65,0.26,0.26,0.13,0.0,0.0,0.0,0.0,88.53129999999994,16066.097599999977,0.11482658884565493,1
2018-04-18,131,26,10,9,7,6,5,4,4,4,1,0,0,0,16.97,3.37,1.3,1.17,0.91,0.78,0.65,0.52,0.52,0.52,0.13,0.0,0.0,0.0,52.26499999999997,15469.311999999982,0.06778858625162124,1
